CD_CVM,NM_PREGAO,BTICKER,SETOR,SUBSETOR,SEGMENTO,CD_GOVERN,QTDE_ON,QTDE_PN
16284,524 PARTICIP,QVQP,Outros,Outros,Outros,MB             ,228361901,0
21725,ADVANCED-DH,ADHM,Saúde,Análises e Diagnósticos,Análises e Diagnósticos,,7562598,0
18970,AES TIETE E,TIET,Utilidade Pública,Energia Elétrica,Energia Elétrica,N2             ,786265136,1209267480
22179,AFLUENTE T,AFLT,Utilidade Pública,Energia Elétrica,Energia Elétrica,,63084700,0
16705,ALEF S/A,ALEF,Outros,Outros,Outros,MB             ,116574000,0
9954,ALFA HOLDING,RPAD,Financeiro,Intermediários Financeiros,Bancos,,46011632,38670637
21032,ALGAR TELEC,ALGT,Comunicações,Telecomunicações,Telecomunicações,,295019806,0
22357,ALIANSCSONAE,ALSO,Financeiro,Exploração de Imóveis,Exploração de Imóveis,NM             ,265772778,0
24953,ESTAPAR,ALPK,Bens Industriais,Serviços Diversos,Serviços Diversos,NM             ,193771106,0
10456,ALPARGATAS,ALPA,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados,N1             ,302010689,286051533
22217,ALPER S.A.,APER,Financeiro,Previdência e Seguros,Corretoras de Seguros,NM             ,11480134,0
21490,ALUPAR,ALUP,Utilidade Pública,Energia Elétrica,Energia Elétrica,N2             ,596955970,282155299
23264,AMBEV S/A,ABEV,Consumo não Cíclico,Bebidas,Cervejas e Refrigerantes,,15735117965,0
3050,AMPLA ENERG,CBEE,Utilidade Pública,Energia Elétrica,Energia Elétrica,,166634326,0
23248,ANIMA,ANIM,Consumo Cíclico,Diversos,Serviços Educacionais,NM             ,111122935,0
22349,AREZZO CO,ARZZ,Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados",NM             ,90954280,0
24171,CARREFOUR BR,CRFB,Consumo não Cíclico,Comércio e Distribuição,Alimentos,NM             ,1985019050,0
19100,ATMASA,ATMP,Bens Industriais,Serviços Diversos,Serviços Diversos,NM             ,23458943,0
15423,ATOMPAR,ATOM,Outros,Outros,Outros,,20898994,0
11975,AZEVEDO,AZEV,Bens Industriais,Construção e Engenharia,Construção Pesada,,1800000,3600000
24112,AZUL,AZUL,Bens Industriais,Transporte,Transporte Aéreo,N2             ,928965058,329703517
20990,B2W DIGITAL,BTOW,Consumo Cíclico,Comércio,Produtos Diversos,NM             ,523229262,0
21610,B3,B3SA,Financeiro,Serviços Financeiros Diversos,Serviços Financeiros Diversos,NM             ,2059138490,0
701,BAHEMA,BAHI,Consumo Cíclico,Diversos,Serviços Educacionais,MA,2219359,0
24600,BANCO BMG,BMGB,Financeiro,Intermediários Financeiros,Bancos,N1             ,400007354,191467177
24406,BANCO INTER,BIDI,Financeiro,Intermediários Financeiros,Bancos,N2             ,365833928,341119102
1155,BANESTES,BEES,Financeiro,Intermediários Financeiros,Bancos,,231329260,84583600
1520,BARDELLA,BDLL,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,,607192,992808
15458,BATTISTELLA,BTTL,Bens Industriais,Comércio,Material de Transporte,,14860568,0
1562,BAUMER,BALM,Saúde,Equipamentos,Equipamentos,,4900000,4900000
23159,BBSEGURIDADE,BBSE,Financeiro,Previdência e Seguros,Seguradoras,NM             ,2000000000,0
24660,BBMLOGISTICA,BBML,Bens Industriais,Serviços Diversos,Serviços Diversos,MA,40760818,0
20958,ABC BRASIL,ABCB,Financeiro,Intermediários Financeiros,Bancos,N2             ,109496432,108862625
1384,ALFA INVEST,BRIV,Financeiro,Intermediários Financeiros,Bancos,,53482129,35118455
922,AMAZONIA,BAZA,Financeiro,Intermediários Financeiros,Bancos,,29645967,0
906,BRADESCO,BBDC,Financeiro,Intermediários Financeiros,Bancos,N1             ,4435106575,4435106111
1023,BRASIL,BBAS,Financeiro,Intermediários Financeiros,Bancos,NM             ,2865417020,0
22616,BTGP BANCO,BPAC,Financeiro,Intermediários Financeiros,Bancos,,1720808722,885023250
1120,BANESE,BGIP,Financeiro,Intermediários Financeiros,Bancos,,7642545,7642545
1171,BANPARA,BPAR,Financeiro,Intermediários Financeiros,Bancos,,9521649,0
1210,BANRISUL,BRSR,Financeiro,Intermediários Financeiros,Bancos,N1             ,205064841,203909636
20885,INDUSVAL,IDVL,Financeiro,Intermediários Financeiros,Bancos,N2             ,83049425,3749410
1309,MERC INVEST,BMIN,Financeiro,Intermediários Financeiros,Bancos,,4115057,710143
1325,MERC BRASIL,BMEB,Financeiro,Intermediários Financeiros,Bancos,,32577872,19837918
1228,NORD BRASIL,BNBR,Financeiro,Intermediários Financeiros,Bancos,,86371464,0
21199,BANCO PAN,BPAN,Financeiro,Intermediários Financeiros,Bancos,N1             ,657560635,547495486
20567,PINE,PINE,Financeiro,Intermediários Financeiros,Bancos,N2             ,75577842,72579922
20532,SANTANDER BR,SANB,Financeiro,Intermediários Financeiros,Bancos,,3818695031,3679836020
17884,BETAPART,BETP,Outros,Outros,Outros,MB             ,2761620,0
1694,BIC MONARK,BMKS,Consumo Cíclico,Viagens e Lazer,Bicicletas,,454750,0
19305,BIOMM,BIOM,Saúde,Medicamentos e Outros Produtos,Medicamentos e Outros Produtos,MA,60759988,0
22845,BIOSEV,BSEV,Consumo não Cíclico,Alimentos Processados,Açucar e Alcool,NM             ,1020429426,0
24317,BK BRASIL,BKBR,Consumo Cíclico,Hoteis e Restaurantes,Restaurante e Similares,NM             ,228105447,0
16772,BNDESPAR,BNDP,Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos,MB             ,1,0
12190,BOMBRIL,BOBR,Consumo não Cíclico,Produtos de Uso Pessoal e de Limpeza,Produtos de Limpeza,,137615317,122894462
19909,BR MALLS PAR,BRML,Financeiro,Exploração de Imóveis,Exploração de Imóveis,NM             ,873141333,0
19925,BR PROPERT,BRPR,Financeiro,Exploração de Imóveis,Exploração de Imóveis,NM             ,491510283,0
19640,BRADESCO LSG,BDLS,Financeiro,Intermediários Financeiros,Soc. Arrendamento Mercantil,,23585,0
18724,BRADESPAR,BRAP,Materiais Básicos,Mineração,Minerais Metálicos,N1             ,122171449,225862596
21180,BR BROKERS,BBRK,Financeiro,Exploração de Imóveis,Intermediação Imobiliária,NM             ,36278303,0
20036,BRASILAGRO,AGRO,Consumo não Cíclico,Agropecuária,Agricultura,NM             ,62104301,0
4820,BRASKEM,BRKM,Materiais Básicos,Químicos,Petroquímicos,N1             ,451668652,345549902
19720,BRAZIL REALT,BZRS,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,,614879,0
17922,BRAZILIAN FR,BFRE,Financeiro,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos,,239,478
18759,BRAZILIAN SC,BSCS,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,,77864966,0
14206,BRB BANCO,BSLI,Financeiro,Intermediários Financeiros,Bancos,,28014650,8290000
20672,BRC SECURIT,BRCS,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,,453440,0
16292,BRF SA,BRFS,Consumo não Cíclico,Alimentos Processados,Carnes e Derivados,NM             ,812473246,0
19984,BRPR 56 SEC,WTVR,Financeiro,Securitizadoras de Recebíveis,Securitizadoras de Recebíveis,,388374,0
23817,BRQ,BRQB,Tecnologia da Informação,Programas e Serviços,Programas e Serviços,MA,132514910,0
20133,BV LEASING,BVLS,Financeiro,Intermediários Financeiros,Soc. Arrendamento Mercantil,,510404,0
19119,CABINDA PART,CABI,Outros,Outros,Outros,MB             ,2368000,4736000
22683,CACHOEIRA,CPTE,Utilidade Pública,Energia Elétrica,Energia Elétrica,MB             ,76281111,0
19135,CACONDE PART,CACO,Outros,Outros,Outros,MB             ,613211,1226542
2100,CAMBUCI,CAMB,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Calçados,,41980080,0
24228,CAMIL,CAML,Consumo não Cíclico,Alimentos Processados,Alimentos Diversos,NM             ,370000000,0
17493,CAPITALPART,CPTP,Outros,Outros,Outros,MB             ,143243,0
18821,CCR SA,CCRO,Bens Industriais,Transporte,Exploração de Rodovias,NM             ,2020000000,0
24848,CEA MODAS,CEAB,Consumo Cíclico,Comércio,"Tecidos, Vestuário e Calçados",NM             ,308245068,0
13854,CEMEPE,MAPT,Outros,Outros,Outros,,454455,464440
20303,CEMIG DIST,CMGD,Utilidade Pública,Energia Elétrica,Energia Elétrica,,2359113452,0
20320,CEMIG GT,CMGT,Utilidade Pública,Energia Elétrica,Energia Elétrica,,2896785358,0
2437,ELETROBRAS,ELET,Utilidade Pública,Energia Elétrica,Energia Elétrica,N1             ,1288842596,280088314
2461,CELESC,CLSC,Utilidade Pública,Energia Elétrica,Energia Elétrica,N2             ,15527137,23044454
24058,ALLIAR,AALR,Saúde,Análises e Diagnósticos,Análises e Diagnósticos,NM             ,118292816,0
2577,CESP,CESP,Utilidade Pública,Energia Elétrica,Energia Elétrica,N1             ,109167801,218334872
14826,P.ACUCAR-CBD,PCAR,Consumo não Cíclico,Comércio e Distribuição,Alimentos,N1             ,268049496,0
16861,CASAN,CASN,Utilidade Pública,Água e Saneamento,Água e Saneamento,,357547216,357547216
